Index,Carrier,Year,Service category,Request,Code type,Code,Description of service,Number of requests per code,Approval rate,Initially denied then approved - approval rate,Expedited - Avg response time,Standard - Avg response time,Extenuating circumstances - Avg response time,Expedited - Number of requests,Standard - Number of requests,Extenuating circumstances - Number of requests,Drug name,Drug code,Drug brand names
2018,Carrier B,2021,DME,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,E2359,POWER WHEELCHAIR ACCESSORY GROUP 34 SEALED LEAD ACID BATTERY,1,1,0,0,193.2,0,0,1,0,NA,NA,NA
2019,Carrier B,2021,DME,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,A4425,OSTOMY POUCH DRAINABLE USE ON BARRIAR WITH NON-LOCKING FLANGE W NON-LOCKING FLANGE-2 PIECE SYSTEM,1,1,0,0,153.4,0,0,1,0,NA,NA,NA
2020,Carrier B,2021,DME,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,A9279,MONITOR FEATURE/DEVICE STAND-ALONE OR INTEGRAT ANY TYPE NOT OTHERWISE CLASSIFIED,1,1,0,0,124.4,0,0,1,0,NA,NA,NA
2021,Carrier B,2021,DME,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,HCPC,E0466,HOME VENT TYPE USED NON-INVASIVE,17,0,0.06,21.4,121.1,0,1,16,0,NA,NA,NA
2022,Carrier B,2021,DME,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,HCPC,E0486,ORAL DEVICE/APPLIANCE TO REDUCE UP/AIRWAY COLLAPSIBILITY ADJUSTABLE ORTHOTIC,3,0,0.33,0,248.7,0,0,3,0,NA,NA,NA
2023,Carrier B,2021,DME,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,HCPC,E0652,PNEUMATIC COMPRESS SEGMENTAL W ITH GRADIENT PRESS,3,0,0.33,0,392.9,0,0,3,0,NA,NA,NA
2024,Carrier B,2021,DME,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,HCPC,E0668,SEGMENTAL PNEUMATIC-USE W/COMPRESSOR FULL ARM,2,0,0.5,0,408.8,0,0,2,0,NA,NA,NA
2025,Carrier B,2021,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,44207,LAPORSCOPY REMOVAL OF PART OF THE COLON,11,1,0,2.2,98,0,1,10,0,NA,NA,NA
2026,Carrier B,2021,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,58150,TOTAL ABDOMINAL HYSTERECTOMY,9,1,0,0,86.8,0,0,9,0,NA,NA,NA
2027,Carrier B,2021,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,20936,AUTOGRAFT TO BONE DURING SPINAL SURGERY,16,0.94,0,0,45.4,0,0,16,0,NA,NA,NA
2028,Carrier B,2021,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,22840,INSTRUMENTATION  INSERTED TO CORRECT  A SPINAL SPACE,12,0.92,0,0,32.8,0,0,12,0,NA,NA,NA
2029,Carrier B,2021,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,22614,SPINAL FUSION TO JOIN TWO VERTEBRAE,9,0.89,0,0,58.9,0,0,9,0,NA,NA,NA
2030,Carrier B,2021,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,cPT,22853,METALLIC  MESH BETWEEN VERTEBRAE,17,0.88,0,0,44.3,0,0,17,0,NA,NA,NA
2031,Carrier B,2021,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,20930,BONE GRAFT MATERIAL ATTACHED TO SPINE,16,0.88,0,0,47.9,0,0,16,0,NA,NA,NA
2032,Carrier B,2021,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,22558,SPINAL FUSION TO JOIN TWO VERTEBRAE IN LOW BACK,7,0.86,0,0,61.7,0,0,7,0,NA,NA,NA
2033,Carrier B,2021,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,22612,LUMBAR SPINE FUSION,9,0.78,0,0,51.6,0,0,9,0,NA,NA,NA
2034,Carrier B,2021,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,63047,SINGLE VERTEBRAE LAMINECTOMY   SURGERY,7,0.71,0,0,49.2,0,0,7,0,NA,NA,NA
2035,Carrier B,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,44213,LAPAROSCOPIC PROCEDURE DONE DURING A PARTIAL COLECTOMY,6,1,0,2.2,132.2,0,1,5,0,NA,NA,NA
2036,Carrier B,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,J9070,CYCLOPHOSPHAMIDE 100MG,4,1,0,0,125.6,0,0,4,0,NA,NA,NA
2037,Carrier B,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,52332,INSPECTION OF INSIDE OF BLADDER WITH A SCOPE,1,1,0,0,65.9,0,0,1,0,NA,NA,NA
2038,Carrier B,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,0538T,T-LYMPHOCYTES FROZEN FOR TRANSPORT,1,1,0,0,29.2,0,0,1,0,NA,NA,NA
2039,Carrier B,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,0539T,LABORTATORY RECEIPT AND PREP OF T-LYMPHOCYTES,1,1,0,0,29.2,0,0,1,0,NA,NA,NA
2040,Carrier B,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,49255,OMENTECTOMY/EPIPLOECTOMY-RESECTION OMENTUM,1,1,0,0,42.7,0,0,1,0,NA,NA,NA
2041,Carrier B,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,0569T,REPAIR OF MITRAL VLAVE DEFECT WITH PROTHESIS,1,1,0,0,95.6,0,0,1,0,NA,NA,NA
2042,Carrier B,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,58548,LAPAROSCOPIC REMOVAL OF UTERUS FALLOPIAN TUBES OVARIES AND LIGAMENTS,1,1,0,0,71.6,0,0,1,0,NA,NA,NA
2043,Carrier B,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,0570T,REPAIR OF TRICUSPIC VALVE WITH PROSTHIC DEVICE,1,1,0,0,95.8,0,0,1,0,NA,NA,NA
2044,Carrier B,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,61781,INTRACRANIAL SCAN PERFORMED DURING INTERCRANIAL SURGERY,1,1,0,19.5,0,0,1,0,0,NA,NA,NA
2045,Carrier B,2021,Inpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,22857,LUMBAR ARTIFICAL  DISKECTOMY,1,0,1,0,59.2,0,0,1,0,NA,NA,NA
2046,Carrier B,2021,Inpatient MH-SUD,Codes with the highest total number of prior authorization requests during the previous plan year,Revenue,1001,BEHAVIORAL HEALTH ACCOMODATIONS-RESIDENTIAL TREATMENT  PSYCHIATRIC,4,1,0,0,206.8,0,0,4,0,NA,NA,NA
2047,Carrier B,2021,Inpatient MH-SUD,Codes with the highest total number of prior authorization requests during the previous plan year,Revenue,126,SEMI-PRIVATE DETOXIFICATION BED INPATIENT,2,1,0,0,2.5,0,0,2,0,NA,NA,NA
2048,Carrier B,2021,Inpatient MH-SUD,Codes with the highest total number of prior authorization requests during the previous plan year,Revenue,1002,BEHAVIORAL HEALTH ACCOMODATIONS-RELATED TO CHEMICAL DEPENDANCY,1,1,0,0,54,0,0,1,0,NA,NA,NA
2049,Carrier B,2021,Inpatient MH-SUD,Codes with the highest total number of prior authorization requests during the previous plan year,Revenue,124,SEMI-PRIVATE PYSCHIATRIC INPATIENT STAY,43,0.95,0,0,26.2,0,0,41,0,NA,NA,NA
2050,Carrier B,2021,Inpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the previous plan year,Revenue,1001,BEHAVIORAL HEALTH ACCOMODATIONS-RESIDENTIAL TREATMENT PSYCHIATRIC,4,1,0,0,206.8,0,0,4,0,NA,NA,NA
2051,Carrier B,2021,Inpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the previous plan year,Revenue,126,SEMI-PRIVATE DETOXIFICATION BED INPATIENT,2,1,0,0,2.5,0,0,2,0,NA,NA,NA
2052,Carrier B,2021,Inpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the previous plan year,Revenue,1002,BEHAVIORAL HEALTH ACCOMODATIONS-RELATED TO CHEMICAL DEPENDANCY,1,1,0,0,54,0,0,1,0,NA,NA,NA
2053,Carrier B,2021,Inpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the previous plan year,Revenue,124,SEMI-PRIVATE PYSCHIATRIC INPATIENT STAY,43,0.95,0,0,26.2,0,0,41,0,NA,NA,NA
2054,Carrier B,2021,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,Q5101,INJ FILGRASTIM G-CSF BIOSIMULATOR,61,1,0,15.6,56.9,0,20,39,0,NA,NA,NA
2055,Carrier B,2021,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,Revenue,551,SKILLED NURSE VISIT IN HOME,148,0.99,0,64.9,101.9,0,10,137,0,NA,NA,NA
2056,Carrier B,2021,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,J3489,ZOLEDRONIC ACID 1MG,64,0.97,0,13.7,52.5,0,18,45,0,NA,NA,NA
2057,Carrier B,2021,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,64483,ANESTHETIC AGEN AND/OR STERIOD INJECTION FOR TRANSFORAMINAL EPIDURAL INJECTION INTO A SINGLE LEVEL,79,0.9,0,0,143.4,0,0,79,0,NA,NA,NA
2058,Carrier B,2021,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,95811,SLEEP STUDY GREATER THAN 6 YRS OLD WITH CPAP MACHINE,163,0.8,0,71.4,152.2,0,1,162,0,NA,NA,NA
2059,Carrier B,2021,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,95810,SLEEP STUDY GREATER THAN 6 YRS OLD,180,0.78,0,23.7,153.5,0,1,179,0,NA,NA,NA
2060,Carrier B,2021,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,J0585,INJECTIONONABOTULINUMTOXINA,113,0.76,0,26.2,146.5,0,4,105,0,NA,NA,NA
2061,Carrier B,2021,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,99212,OFFICE/OUTPATIENT ESTABLISHED MEMBER LASTING 10-19 MIN,201,0.63,0,70.6,124.3,0.1,16,181,4,NA,NA,NA
2062,Carrier B,2021,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,G0480,DEFINITIVE DRUG TEST OF CLASSES 1-7,63,0.4,0,0,175.3,0,0,63,0,NA,NA,NA
2063,Carrier B,2021,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,G0481,DEFINITIVE DRUG TEST OF CLASSES 8-14,64,0.39,0,0,175.3,0,0,64,0,NA,NA,NA
2064,Carrier B,2021,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,Q5118,INJECTION BEVACIZUMAB-BVCR BIOSIMILAR 10 MILLIGRAM (ZIRABEV),26,1,0,24.1,82.6,0,5,20,0,NA,NA,NA
2065,Carrier B,2021,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,J9299,INJECTION NIVOLUMAB 1 MILLIGRAM,19,1,0,4.1,113.9,0,6,13,0,NA,NA,NA
2066,Carrier B,2021,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,J9022,INJECTION ATEZOLIZUMAB 10 MILLIGRAM,11,1,0,10,76.7,0,3,8,0,NA,NA,NA
2067,Carrier B,2021,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,81208,BCR/ABL1 GENETIC TEST FOR CHROMOSOME 22,3,1,0,0,176.9,0,0,3,0,NA,NA,NA
2068,Carrier B,2021,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,81257,HBA1/HBA2 GENETIC TEST FOR ALPHA THALASSEMIA,3,1,0,0,69.4,0,0,3,0,NA,NA,NA
2069,Carrier B,2021,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,J2182,INJECTION MEPOLIZUMAB 1MILLIGRAM,2,1,0,0,129.4,0,0,2,0,NA,NA,NA
2070,Carrier B,2021,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,81256,HFE GENE (HEMOCHROMATOSIS GENE) TEST FOR CHANGES,2,1,0,0,97.7,0,0,2,0,NA,NA,NA
2071,Carrier B,2021,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,J0694,INJECTION CEFOXITIN SODIUM 1 GRAM,1,1,0,0,22.2,0,0,1,0,NA,NA,NA
2072,Carrier B,2021,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,81261,IGH GENETIC TEST FOR LYMPHOID NEOPLASMS,1,1,0,0,117.8,0,0,1,0,NA,NA,NA
2073,Carrier B,2021,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,G0491,DIALYSIS ACUTE KIDNEY WITHOUT END STAGE RENAL DISEASE,1,1,0,5.7,0,0,1,0,0,NA,NA,NA
2074,Carrier B,2021,Outpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,21209,OSTEOPLASTY FACIAL BONES REDUCTION,1,0,1,0,270.1,0,0,1,0,NA,NA,NA
2075,Carrier B,2021,Outpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,77067,SCREENING MAMMOGRAPHY,3,0,1,0,0,0,0,0,0,NA,NA,NA
2076,Carrier B,2021,Outpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,99213,OFFICE/OUTPATIENT VISIT ESTABLISHED,1,0,1,0,0,0,0,0,0,NA,NA,NA
2077,Carrier B,2021,Outpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,83605,TEST FOR AMOUNTS OF LACTATE,1,0,1,0,0,0,0,0,0,NA,NA,NA
2078,Carrier B,2021,Outpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,88304,LEVEL III-SURGICAL PATH GROSS/MICROSCOPIC EXAM,1,0,1,0,0,0,0,0,0,NA,NA,NA
2079,Carrier B,2021,Outpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,23350,INJECTION  PROCEDURE TO THE SHOULDER JOINT,1,0,1,0,0,0,0,0,0,NA,NA,NA
2080,Carrier B,2021,Outpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,77065,DIAGNOSTIC MAMMOGRAPHY COMPUTER-AIDED,1,0,1,0,0,0,0,0,0,NA,NA,NA
2081,Carrier B,2021,Outpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,11104,PUNCH BIOPSY SKIN SINGLE LESION,1,0,1,0,0,1.2,0,0,1,NA,NA,NA
2082,Carrier B,2021,Outpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,80053,COMPREHENSIVE METABOLIC PANEL,1,0,1,0,0,0.1,0,0,1,NA,NA,NA
2083,Carrier B,2021,Outpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,90837,PSYCHO THERAPY FOR LESS THAN 60 MINUTES,1,0,1,0,0,0,0,0,3,NA,NA,NA
2084,Carrier B,2021,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,96101,PSYCHOLOGICAL TESTING PER HOUR FACE TO FACE TIME WITH PATIENT,10,1,0,0,204,0,0,10,0,NA,NA,NA
2085,Carrier B,2021,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,S9480,INTENSIVE OUTPATIENT PSYCHIATRIC SERVICES PER DIEM,4,1,0,0,113.3,0,0,3,0,NA,NA,NA
2086,Carrier B,2021,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the previous plan year,Revenue,912,PARTIAL HOSPITALIZATION PSYCHIATRIC  PROGRAM,3,1,0,0,159.1,0,0,3,0,NA,NA,NA
2087,Carrier B,2021,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,S0201,PARTIAL HOSPITALZTION SERVICES <24 HR-PER DIEM,2,1,0,0,74.5,0,0,2,0,NA,NA,NA
2088,Carrier B,2021,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the previous plan year,Revenue,905,INTENSIVE BEHAVIORAL HEALTH TREATMENT SERVICES,2,1,0,0,31.9,0,0,2,0,NA,NA,NA
2089,Carrier B,2021,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,90870,ELECTRIC CONVULSIVE THERAPY,2,1,0,0,445.4,0,0,2,0,NA,NA,NA
2090,Carrier B,2021,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,H0020,ALCOHOL AND/OR DRUG SERVICESMETHADONE ADMINISTRATION/SERVICE,1,1,0,0,200.6,0,0,1,0,NA,NA,NA
2091,Carrier B,2021,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,90837,PSYCHOTHERAPY SESSION UNDER 60 MINUTES,1,1,0,0,98.1,0,0,1,0,NA,NA,NA
2092,Carrier B,2021,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,H0015,INTENSIVE  OUTPATIENT PROGRAM FOR  CHEMICAL DEPENDENCY TREATMENT,1,1,0,0,136.9,0,0,1,0,NA,NA,NA
2093,Carrier B,2021,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the previous plan year,Revenue,906,PROFESSIONAL FEE FOR PSYCHOLOGY,24,0.92,0,0,176.9,0,0,24,0,NA,NA,NA
2094,Carrier B,2021,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,96101,PSYCHOLOGICAL TESTING PER HOUR FACE TO FACE TIME WITH PATIENT,10,1,0,0,204,0,0,10,0,NA,NA,NA
2095,Carrier B,2021,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,S9480,INTENSIVE OUTPT PSYCH SERV PER DIEM,4,1,0,0,113.3,0,0,3,0,NA,NA,NA
2096,Carrier B,2021,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the previous plan year,Revenue,912,PARTIAL HOSPITALIZATION PSYCHIATRIC  PROGRAM,3,1,0,0,159.1,0,0,3,0,NA,NA,NA
2097,Carrier B,2021,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,90870,ELECTRIC CONVULSIVE THERAPY,2,1,0,0,445.4,0,0,2,0,NA,NA,NA
2098,Carrier B,2021,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,S0201,PARTIAL HOSPITALZTION SERVICES <24 HR-PER DIEM,2,1,0,0,74.5,0,0,2,0,NA,NA,NA
2099,Carrier B,2021,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the previous plan year,Revenue,905,INTENSIVE BEHAVIORAL HEALTH TREATMENT SERVICES,2,1,0,0,31.9,0,0,2,0,NA,NA,NA
2100,Carrier B,2021,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,H0020,ALCOHOL AND/OR DRUG SERVICESMETHADONE ADMINISTRATION/SERVICE,1,1,0,0,200.6,0,0,1,0,NA,NA,NA
2101,Carrier B,2021,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,96130,PSYCHOLOGICAL TESTING EVALUATION SERVICES PHYSICIAN/QUALIFIED HEALTH PROFESSIONAL FOR THE FIRST HOUR,1,1,0,0,236.3,0,0,1,0,NA,NA,NA
2102,Carrier B,2021,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,90837,PSYCHOTHERAPY SESSION UNDER 60 MINUTES,1,1,0,0,98.1,0,0,1,0,NA,NA,NA
2103,Carrier B,2021,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,H0015,INTENSIVE  OUTPATIENT PROGRAM FOR  CHEMICAL DEPENDENCY TREATMENT,1,1,0,0,136.9,0,0,1,0,NA,NA,NA
2104,Carrier C,2021,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A4230,INFUS SET INSULIN PUMP NON NEEDLE,473,0.99,0,2,53,0,411,62,0,NA,NA,NA
2105,Carrier C,2021,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,97802,MED NUTRIT THRPY INIT ASSESS 15 MIN,718,0.98,0,1,20,0,15,703,0,NA,NA,NA
2106,Carrier C,2021,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,99214,OFFICE VISIT E&M EST PT MODERATE MDM 30-39 MINS,2160,0.97,0,5,19,0,161,1999,0,NA,NA,NA
2107,Carrier C,2021,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,J9035,INJ BEVACIZUMAB 10 MG,128,0.96,0,6,43,0,55,73,0,NA,NA,NA
2108,Carrier C,2021,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,Revenue,120,ROOM AND BOARD,117,0.96,0,11,0,0,117,0,0,NA,NA,NA
2109,Carrier C,2021,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A5500,DIAB ONLY FIT CSTM PREP&SPL SHOE MX DNSITY INSRT PER SHOE,260,0.93,0,6,47,0,7,253,0,NA,NA,NA
2110,Carrier C,2021,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,G0108,DIAB MGMT TRN PER INDIV,85,0.93,0,3,47,0,25,60,0,NA,NA,NA
2111,Carrier C,2021,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A9276,SENSORINVSV DISP INTRSTL CONT GLU MON SYS 1U=1D,629,0.86,0,6,99,0,373,256,0,NA,NA,NA
2112,Carrier C,2021,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,E0784,EXTERN AMBUL INSULIN INFUS PUMP,186,0.84,0,19,85,0,22,164,0,NA,NA,NA
2113,Carrier C,2021,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,K0553,SUPPLY ALLOWANCE FOR THERAPEUTIC CONTINUOUS GLUCOSE MONITOR (CGM) INCLUDES ALL SUPPLIES AND ACCESSORIES,827,0.8,0,7,83,0,426,401,0,NA,NA,NA
2114,Carrier C,2021,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,95250,GLUCOSE MONITORING 72 HRS MD OR OTH QUAL EQUIP PROV REC/STORAGE GL,73,1,0,1,7,0,3,70,0,NA,NA,NA
2115,Carrier C,2021,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A5501,DIABETIC CUSTOM MOLDED SHOE,23,1,0,0,47,0,0,23,0,NA,NA,NA
2116,Carrier C,2021,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,11042,DEBRIDE SKIN & SUBQ TISSUE,16,1,0,0,28,0,1,15,0,NA,NA,NA
2117,Carrier C,2021,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,11721,DEBRIDE NAIL(S) ANY METHOD(S) 6+,9,1,0,0,75,0,0,9,0,NA,NA,NA
2118,Carrier C,2021,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,L4205,REPAIR ORTHOTIC DEV LABOR PER 15 MIN,10,1,0,0,20,0,3,7,0,NA,NA,NA
2119,Carrier C,2021,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,92014,COMPREHENSIVE EYE EXAM ESTABLISHED PT 1+ VISITS,9,1,0,9,28,0,2,7,0,NA,NA,NA
2120,Carrier C,2021,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,93924,NON-INVASIVE STUDY LE ARTERY POST T,9,1,0,0,39,0,2,7,0,NA,NA,NA
2121,Carrier C,2021,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,99204,OFFICE VISIT E&M NEW PT MODERATE MDM 45-59 MINS,8,1,0,25,42,0,2,6,0,NA,NA,NA
2122,Carrier C,2021,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,92134,OCT MACULAR/RETINA W/INTERP & REPORT UNIL/BILAT,12,1,0,10,30,0,10,2,0,NA,NA,NA
2123,Carrier C,2021,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,Revenue,762,MISC SERVICES,22,1,0,13,0,0,22,0,0,NA,NA,NA
2124,Carrier C,2021,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,K0553,SUPPLY ALLOWANCE FOR THERAPEUTIC CONTINUOUS GLUCOSE MONITOR (CGM) INCLUDES ALL SUPPLIES AND ACCESSORIES,827,0,0.01,7,83,0,426,401,0,NA,NA,NA
2125,Carrier C,2021,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,A9276,SENSORINVSV DISP INTRSTL CONT GLU MON SYS 1U=1D,629,0,0.01,6,99,0,373,256,0,NA,NA,NA
2126,Carrier C,2021,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,E0784,EXTERN AMBUL INSULIN INFUS PUMP,186,0,0.02,19,85,0,22,164,0,NA,NA,NA
2127,Carrier C,2021,DME,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,L3660,SHOULDER ORTHOSIS FIGURE OF EIGHT DESIGN ABDUCTION RESTRAINER CANVAS AND,559,1,0,0,7,0,0,559,0,NA,NA,NA
2128,Carrier C,2021,DME,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,E0603,DME ELECTRIC BREAST PUMP KIT PURCHASE,2191,1,0,1,30,0,2103,88,0,NA,NA,NA
2129,Carrier C,2021,DME,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,E0114,CRUTCHES METAL UNDERARM PAIR,658,0.99,0,3,14,0,41,617,0,NA,NA,NA
2130,Carrier C,2021,DME,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,L4361,PNEUMATIC WALKING BOOT,632,0.99,0,1,12,0,9,623,0,NA,NA,NA
